Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 14:28:47.368",0x7C9,"Diagnostic Session Control","Default Session","Positive",-,"-"
"2024-12-10 14:28:47.568",0x7C9,"Diagnostic Session Control","Programming Session","Positive",-,"-"
"2024-12-10 14:28:47.770",0x7C9,"Diagnostic Session Control","Extended Session","Positive",-,"-"
"2024-12-10 14:28:47.970",0x7C9,"Diagnostic Session Control","Safety Session Diagnostic Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:48.170",0x7C9,"ECU Reset","Hard Reset","Positive",-,"-"
"2024-12-10 14:28:48.370",0x7C9,"ECU Reset","Soft Reset","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:48.571",0x7C9,"ECU Reset","Custom Reset Option 1","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:48.771",0x7C9,"ECU Reset","Custom Reset Option 2","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:48.972",0x7C9,"Clear Diagnostic Information","Clear All DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:49.172",0x7C9,"Clear Diagnostic Information","Clear DTCs by Identifier","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:49.372",0x7C9,"Clear Diagnostic Information","Clear Memory Stored DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:49.577",0x7C9,"Read DTC Information","Report DTC by Status Mask","Positive",-,"-"
"2024-12-10 14:28:49.776",0x7C9,"Read DTC Information","Report DTC by Occurrence Counter","Positive",-,"-"
"2024-12-10 14:28:49.977",0x7C9,"Read DTC Information","Report DTC Snapshot Record","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:50.178",0x7C9,"Read DTC Information","Report Supported DTCs","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:50.379",0x7C9,"Read Data By Identifier","Read VIN Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:50.580",0x7C9,"Read Data By Identifier","Read Calibration ID","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:50.780",0x7C9,"Read Data By Identifier","Read Calibration Verification Numbers","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:50.979",0x7C9,"Read Data By Identifier","Read Calibration Software Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:28:51.180",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:51.380",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:51.580",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:51.782",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:51.982",0x7C9,"Security Access","Request Seed","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:52.182",0x7C9,"Security Access","Send Key","Reject",0x31,"Routine Not Complete"
