Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 14:30:17.603",0x7C9,"Diagnostic Session Control","Default Session","Positive",-,"-"
"2024-12-10 14:30:17.803",0x7C9,"Diagnostic Session Control","Programming Session","Positive",-,"-"
"2024-12-10 14:30:17.003",0x7C9,"Diagnostic Session Control","Extended Session","Positive",-,"-"
"2024-12-10 14:30:18.203",0x7C9,"Diagnostic Session Control","Safety Session Diagnostic Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:18.403",0x7C9,"ECU Reset","Hard Reset","Positive",-,"-"
"2024-12-10 14:30:18.603",0x7C9,"ECU Reset","Soft Reset","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:18.803",0x7C9,"ECU Reset","Custom Reset Option 1","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:19.003",0x7C9,"ECU Reset","Custom Reset Option 2","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:19.203",0x7C9,"Clear Diagnostic Information","Clear All DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:19.403",0x7C9,"Clear Diagnostic Information","Clear DTCs by Identifier","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:19.603",0x7C9,"Clear Diagnostic Information","Clear Memory Stored DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:19.804",0x7C9,"Read DTC Information","Report DTC by Status Mask","Positive",-,"-"
"2024-12-10 14:30:20.004",0x7C9,"Read DTC Information","Report DTC by Occurrence Counter","Positive",-,"-"
"2024-12-10 14:30:20.210",0x7C9,"Read DTC Information","Report DTC Snapshot Record","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:20.410",0x7C9,"Read DTC Information","Report Supported DTCs","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:20.610",0x7C9,"Read Data By Identifier","Read VIN Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:20.810",0x7C9,"Read Data By Identifier","Read Calibration ID","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:21.010",0x7C9,"Read Data By Identifier","Read Calibration Verification Numbers","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:21.210",0x7C9,"Read Data By Identifier","Read Calibration Software Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:30:21.411",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:21.611",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:21.812",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:22.012",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:22.212",0x7C9,"Security Access","Request Seed","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:22.413",0x7C9,"Security Access","Send Key","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:22.614",0x7C9,"Write Data By Identifier","Write VIN Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:22.814",0x7C9,"Write Data By Identifier","Write Calibration ID","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:23.019",0x7C9,"Write Data By Identifier","Write Calibration Verification Numbers","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:23.220",0x7C9,"Write Data By Identifier","Write Calibration Software Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:23.620",0x7C9,"Routine Control","Start Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:23.820",0x7C9,"Routine Control","Stop Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:24.020",0x7C9,"Routine Control","Request Routine Results","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:24.221",0x7C9,"Request Download","Request Download - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:30:24.423",0x7C9,"Request Download","Request Download - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:30:24.624",0x7C9,"Request Download","Request Download - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:30:25.230",0x7C9,"Request Upload","Request Upload - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:30:25.430",0x7C9,"Request Upload","Request Upload - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:30:25.630",0x7C9,"Request Upload","Request Upload - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:30:26.233",0x7C9,"Transfer Data","Transfer Data - Data Block 1","Reject",0x11,"Service not supported"
"2024-12-10 14:30:26.433",0x7C9,"Transfer Data","Transfer Data - Data Block 2","Reject",0x11,"Service not supported"
"2024-12-10 14:30:26.633",0x7C9,"Transfer Data","Transfer Data - Data Block 3","Reject",0x11,"Service not supported"
"2024-12-10 14:30:27.234",0x7C9,"Request Transfer Exit","Request Transfer Exit - Cancel Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:30:27.434",0x7C9,"Request Transfer Exit","Request Transfer Exit - Complete Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:30:27.634",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:27.834",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:28.039",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:28.240",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:28.440",0x7C9,"Tester Present","Tester Present - Request Idle State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:28.640",0x7C9,"Tester Present","Tester Present - Request Sleep State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:28.840",0x7C9,"Tester Present","Tester Present - Request Active State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:30:29.040",0x7C9,"Control DTC Settings","Enable DTC Clearing","Reject",0x11,"Service not supported"
