Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 14:22:15.866",0x7D9,"Diagnostic Session Control","Default Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:22:16.066",0x7D9,"Diagnostic Session Control","Programming Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:22:16.276",0x7D9,"Diagnostic Session Control","Extended Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:22:16.476",0x7D9,"Diagnostic Session Control","Safety Session Diagnostic Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 14:22:16.676",0x7D9,"ECU Reset","Hard Reset","Reject",0x11,"Service not supported"
"2024-12-10 14:22:16.876",0x7D9,"ECU Reset","Soft Reset","Reject",0x11,"Service not supported"
"2024-12-10 14:22:17.076",0x7D9,"ECU Reset","Custom Reset Option 1","Reject",0x11,"Service not supported"
"2024-12-10 14:22:17.276",0x7D9,"ECU Reset","Custom Reset Option 2","Reject",0x11,"Service not supported"
"2024-12-10 14:22:17.476",0x7D9,"Clear Diagnostic Information","Clear All DTCs","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:17.676",0x7D9,"Clear Diagnostic Information","Clear DTCs by Identifier","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:17.876",0x7D9,"Clear Diagnostic Information","Clear Memory Stored DTCs","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:18.076",0x7D9,"Read DTC Information","Report DTC by Status Mask","Reject",0x11,"Service not supported"
"2024-12-10 14:22:18.276",0x7D9,"Read DTC Information","Report DTC by Occurrence Counter","Reject",0x11,"Service not supported"
"2024-12-10 14:22:18.476",0x7D9,"Read DTC Information","Report DTC Snapshot Record","Reject",0x11,"Service not supported"
"2024-12-10 14:22:18.676",0x7D9,"Read DTC Information","Report Supported DTCs","Reject",0x11,"Service not supported"
"2024-12-10 14:22:18.877",0x7D9,"Read Data By Identifier","Read VIN Number","Reject",0x11,"Service not supported"
"2024-12-10 14:22:19.087",0x7D9,"Read Data By Identifier","Read Calibration ID","Reject",0x11,"Service not supported"
"2024-12-10 14:22:19.287",0x7D9,"Read Data By Identifier","Read Calibration Verification Numbers","Reject",0x11,"Service not supported"
"2024-12-10 14:22:19.486",0x7D9,"Read Data By Identifier","Read Calibration Software Number","Reject",0x11,"Service not supported"
