Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 16:02:30.000",0x7C9,"Diagnostic Session Control","Default Session","Positive",-,"-"
"2024-12-10 16:02:32.100",0x7C9,"Diagnostic Session Control","Programming Session","Positive",-,"-"
"2024-12-10 16:02:33.204",0x7C9,"Diagnostic Session Control","Extended Session","Positive",-,"-"
"2024-12-10 16:02:34.304",0x7C9,"Diagnostic Session Control","Safety Session Diagnostic Session","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:35.404",0x7C9,"ECU Reset","Hard Reset","Positive",-,"-"
"2024-12-10 16:02:36.504",0x7C9,"ECU Reset","Soft Reset","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:37.604",0x7C9,"ECU Reset","Custom Reset Option 1","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:38.704",0x7C9,"ECU Reset","Custom Reset Option 2","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:39.805",0x7C9,"Clear Diagnostic Information","Clear All DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:40.905",0x7C9,"Clear Diagnostic Information","Clear DTCs by Identifier","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:41.005",0x7C9,"Clear Diagnostic Information","Clear Memory Stored DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:43.108",0x7C9,"Read DTC Information","Report DTC by Status Mask","Positive",-,"-"
"2024-12-10 16:02:44.207",0x7C9,"Read DTC Information","Report DTC by Occurrence Counter","Positive",-,"-"
"2024-12-10 16:02:45.307",0x7C9,"Read DTC Information","Report DTC Snapshot Record","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:46.407",0x7C9,"Read DTC Information","Report Supported DTCs","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:47.508",0x7C9,"Read Data By Identifier","Read VIN Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:48.609",0x7C9,"Read Data By Identifier","Read Calibration ID","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:49.712",0x7C9,"Read Data By Identifier","Read Calibration Verification Numbers","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:50.817",0x7C9,"Read Data By Identifier","Read Calibration Software Number","Reject",0x12,"Sub-Function not supported"
"2024-12-10 16:02:51.917",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:53.017",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:54.117",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:55.218",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:56.322",0x7C9,"Security Access","Request Seed","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:57.422",0x7C9,"Security Access","Send Key","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:58.527",0x7C9,"Write Data By Identifier","Write VIN Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:02:59.628",0x7C9,"Write Data By Identifier","Write Calibration ID","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:00.728",0x7C9,"Write Data By Identifier","Write Calibration Verification Numbers","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:01.828",0x7C9,"Write Data By Identifier","Write Calibration Software Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:04.028",0x7C9,"Routine Control","Start Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:05.128",0x7C9,"Routine Control","Stop Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:06.229",0x7C9,"Routine Control","Request Routine Results","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:07.332",0x7C9,"Request Download","Request Download - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 16:03:08.433",0x7C9,"Request Download","Request Download - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 16:03:09.535",0x7C9,"Request Download","Request Download - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 16:03:12.838",0x7C9,"Request Upload","Request Upload - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 16:03:13.939",0x7C9,"Request Upload","Request Upload - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 16:03:15.039",0x7C9,"Request Upload","Request Upload - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 16:03:18.340",0x7C9,"Transfer Data","Transfer Data - Data Block 1","Reject",0x11,"Service not supported"
"2024-12-10 16:03:19.442",0x7C9,"Transfer Data","Transfer Data - Data Block 2","Reject",0x11,"Service not supported"
"2024-12-10 16:03:20.545",0x7C9,"Transfer Data","Transfer Data - Data Block 3","Reject",0x11,"Service not supported"
"2024-12-10 16:03:23.847",0x7C9,"Request Transfer Exit","Request Transfer Exit - Cancel Transfer","Reject",0x11,"Service not supported"
"2024-12-10 16:03:24.947",0x7C9,"Request Transfer Exit","Request Transfer Exit - Complete Transfer","Reject",0x11,"Service not supported"
"2024-12-10 16:03:26.049",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:27.150",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:28.252",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:29.353",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:30.453",0x7C9,"Tester Present","Tester Present - Request Idle State","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:31.553",0x7C9,"Tester Present","Tester Present - Request Sleep State","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:32.655",0x7C9,"Tester Present","Tester Present - Request Active State","Reject",0x31,"Routine Not Complete"
"2024-12-10 16:03:33.755",0x7C9,"Control DTC Settings","Enable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 16:03:34.855",0x7C9,"Control DTC Settings","Disable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 16:03:35.955",0x7C9,"Control DTC Settings","Enable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 16:03:37.055",0x7C9,"Control DTC Settings","Disable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 16:03:38.157",0x7C9,"Control DTC Settings","Reset DTC Settings","Reject",0x11,"Service not supported"
"2024-12-10 16:03:39.257",0x7C9,"Link Control","Open Link","Reject",0x11,"Service not supported"
"2024-12-10 16:03:40.359",0x7C9,"Link Control","Close Link","Reject",0x11,"Service not supported"
"2024-12-10 16:03:41.461",0x7C9,"Link Control","Link Status Request","Reject",0x11,"Service not supported"
"2024-12-10 16:03:42.561",0x7C9,"Link Control","Reset Link","Reject",0x11,"Service not supported"
"2024-12-10 16:03:43.663",0x7C9,"Link Control","Configure Link Parameters","Reject",0x11,"Service not supported"
