Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-09 17:51:24.378",0x7C9,"Diagnostic Session Control","Default Session","Positive",-,"-"
"2024-12-09 17:51:24.579",0x7C9,"Diagnostic Session Control","Programming Session","Positive",-,"-"
"2024-12-09 17:51:24.781",0x7C9,"Diagnostic Session Control","Extended Session","Positive",-,"-"
"2024-12-09 17:51:24.984",0x7C9,"Diagnostic Session Control","Safety Session Diagnostic Session","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:25.184",0x7C9,"ECU Reset","Hard Reset","Positive",-,"-"
"2024-12-09 17:51:25.389",0x7C9,"ECU Reset","Soft Reset","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:25.589",0x7C9,"ECU Reset","Custom Reset Option 1","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:25.789",0x7C9,"ECU Reset","Custom Reset Option 2","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:25.989",0x7C9,"Clear Diagnostic Information","Clear All DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:26.191",0x7C9,"Clear Diagnostic Information","Clear DTCs by Identifier","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:26.399",0x7C9,"Clear Diagnostic Information","Clear Memory Stored DTCs","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:26.599",0x7C9,"Read DTC Information","Report DTC by Status Mask","Positive",-,"-"
"2024-12-09 17:51:26.799",0x7C9,"Read DTC Information","Report DTC by Occurrence Counter","Positive",-,"-"
"2024-12-09 17:51:26.999",0x7C9,"Read DTC Information","Report DTC Snapshot Record","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:27.201",0x7C9,"Read DTC Information","Report Supported DTCs","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:27.409",0x7C9,"Read Data By Identifier","Read VIN Number","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:27.611",0x7C9,"Read Data By Identifier","Read Calibration ID","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:27.819",0x7C9,"Read Data By Identifier","Read Calibration Verification Numbers","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:28.019",0x7C9,"Read Data By Identifier","Read Calibration Software Number","Reject",0x12,"Sub-Function not supported"
"2024-12-09 17:51:28.219",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:28.529",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:28.665",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:28.884",0x7C9,"Read Memory By Address","Read Memory Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:29.074",0x7C9,"Security Access","Request Seed","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:29.280",0x7C9,"Security Access","Send Key","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:29.479",0x7C9,"Write Data By Identifier","Write VIN Number","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:29.682",0x7C9,"Write Data By Identifier","Write Calibration ID","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:29.884",0x7C9,"Write Data By Identifier","Write Calibration Verification Numbers","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:30.084",0x7C9,"Write Data By Identifier","Write Calibration Software Number","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:30.489",0x7C9,"Routine Control","Start Routine","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:30.689",0x7C9,"Routine Control","Stop Routine","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:30.889",0x7C9,"Routine Control","Request Routine Results","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:31.089",0x7C9,"Request Download","Request Download - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-09 17:51:31.294",0x7C9,"Request Download","Request Download - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-09 17:51:31.499",0x7C9,"Request Download","Request Download - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-09 17:51:32.109",0x7C9,"Request Upload","Request Upload - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-09 17:51:32.309",0x7C9,"Request Upload","Request Upload - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-09 17:51:32.512",0x7C9,"Request Upload","Request Upload - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-09 17:51:33.121",0x7C9,"Transfer Data","Transfer Data - Data Block 1","Reject",0x11,"Service not supported"
"2024-12-09 17:51:33.325",0x7C9,"Transfer Data","Transfer Data - Data Block 2","Reject",0x11,"Service not supported"
"2024-12-09 17:51:33.526",0x7C9,"Transfer Data","Transfer Data - Data Block 3","Reject",0x11,"Service not supported"
"2024-12-09 17:51:34.129",0x7C9,"Request Transfer Exit","Request Transfer Exit - Cancel Transfer","Reject",0x11,"Service not supported"
"2024-12-09 17:51:34.331",0x7C9,"Request Transfer Exit","Request Transfer Exit - Complete Transfer","Reject",0x11,"Service not supported"
"2024-12-09 17:51:34.534",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:34.741",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:34.941",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:35.141",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:35.342",0x7C9,"Tester Present","Tester Present - Request Idle State","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:35.546",0x7C9,"Tester Present","Tester Present - Request Sleep State","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:35.750",0x7C9,"Tester Present","Tester Present - Request Active State","Reject",0x31,"Routine Not Complete"
"2024-12-09 17:51:35.959",0x7C9,"Control DTC Settings","Enable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-09 17:51:36.159",0x7C9,"Control DTC Settings","Disable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-09 17:51:36.359",0x7C9,"Control DTC Settings","Enable Specific DTC","Reject",0x11,"Service not supported"
